url,class,protocol, Domain Name,Registrar,Updated Date,Creation Date,Registry Expiry Date,Registrant Organization,Country
duckduckgo.com,https,benign,DUCKDUCKGO.COM,NAMECHEAP INC,2022-05-24,2007-11-11,2023-06-23,Privacy service provided by Withheld for Privacy ehf,IS
telewebion.com,https,benign,TELEWEBION.COM,NAMECHEAP INC,2020-07-28,2012-09-05,2025-09-05,Privacy service provided by Withheld for Privacy ehf,IS
grammarly.com,https,benign,GRAMMARLY.COM,"GoDaddy.com, LLC",2022-09-06,2009-07-01,2023-07-01,"Domains By Proxy, LLC",US
daum.net,https,benign,DAUM.NET,"Megazone Corp., dba HOSTING.KR",2022-02-11,1996-03-05,2023-03-06,Kakao Corp,KR
zhihu.com,https,benign,ZHIHU.COM,"DNSPod, Inc.",2022-04-18,2007-06-15,2029-09-29,,CN
soundcloud.com,https,benign,SOUNDCLOUD.COM,GANDI SAS,2022-05-08,2005-07-25,2023-06-08,SoundCloud Global Limited & Co. KG,DE
videocampaign.co,https,benign,videocampaign.co,"GoDaddy.com, LLC",2022-08-04,2020-07-29,2023-07-29,"Domains By Proxy, LLC",US
disneyplus.com,https,benign,DISNEYPLUS.COM,"CSC CORPORATE DOMAINS, INC.",2022-03-18,2000-03-23,2023-03-22,"Disney Enterprises, Inc.",US
bbc.co.uk,https,benign,bbc.co.uk,British Broadcasting Corporation [Tag = BBC],2020-12-10,1996-08-01,2025-12-13,,
tokopedia.com,https,benign,TOKOPEDIA.COM,"GoDaddy.com, LLC",2022-09-05,2008-05-30,2027-05-30,"Domains By Proxy, LLC",US
indiatimes.com,https,benign,INDIATIMES.COM,"TUCOWS, INC.",2021-10-23,1996-11-22,2022-11-21,Contact Privacy Inc. Customer 0142599492,CA
nih.gov,https,benign,NIH.GOV,,,,,,
speedtest.net,https,benign,SPEEDTEST.NET,"CSC CORPORATE DOMAINS, INC.",2022-08-17,1999-06-25,2032-06-25,Ookla LLC,US
ettoday.net,https,benign,ETTODAY.NET,"Net-Chinese Co., Ltd.",2022-05-23,2011-08-19,2023-08-19,,
pinterest.com,https,benign,PINTEREST.COM,"MarkMonitor, Inc.",2022-03-08,2009-11-26,2022-11-26,DNStination Inc.,US
digikala.com,https,benign,DIGIKALA.COM,CSL Computer Service Langenbach GmbH d/b/a joker.com,2022-01-26,2006-11-07,2029-11-07,No Avaran-e Fanavaze,IR
intuit.com,https,benign,INTUIT.COM,"MarkMonitor, Inc.",2021-11-17,1994-02-18,2023-12-19,Intuit Inc.,US
google.it,https,benign,google.it,MarkMonitor International Limited,2022-05-18,1999-12-10,2023-04-21,,
craigslist.org,https,benign,craigslist.org,MarkMonitor Inc.,2015-12-09,1997-09-11,2024-09-10,Craigslist,US
wix.com,https,benign,WIX.COM,"GoDaddy.com, LLC",2022-09-11,1995-05-12,2029-05-13,"Domains By Proxy, LLC",US
binance.com,https,benign,BINANCE.COM,"MarkMonitor, Inc.",2020-06-12,2017-04-01,2025-04-01,DNStination Inc.,US
ilovepdf.com,https,benign,ILOVEPDF.COM,"GoDaddy.com, LLC",2022-09-11,2009-12-16,2024-12-16,"Domains By Proxy, LLC",US
t.me,https,benign,T.ME,"GoDaddy.com, LLC",2022-05-21,2010-05-20,2023-05-20,,
bet9ja.com,https,benign,BET9JA.COM,"PSI-USA, Inc. dba Domain Robot",2020-10-26,2012-04-17,2025-04-17,PrivateName Services Inc.,CA
suara.com,https,benign,SUARA.COM,"GoDaddy.com, LLC",2022-10-05,2002-10-04,2023-10-04,"Domains By Proxy, LLC",US
w3schools.com,https,benign,W3SCHOOLS.COM,"Amazon Registrar, Inc.",2022-03-03,2000-03-21,2026-03-21,Whois Privacy Service,US
archive.org,https,benign,archive.org,easyDNS Technologies Inc.,2020-11-04,1995-12-14,2025-12-13,Internet Archive,US
tistory.com,https,benign,TISTORY.COM,"Megazone Corp., dba HOSTING.KR",2022-09-29,2005-10-01,2023-10-01,Kakao Corp,KR
tudou.com,https,benign,TUDOU.COM,"Alibaba Cloud Computing (Beijing) Co., Ltd.",2021-06-01,2004-07-13,2023-07-13,,
uol.com.br,https,benign,uol.com.br,,2017-01-06,1996-04-24,2023-04-24,,BR
wetransfer.com,https,benign,WETRANSFER.COM,Key-Systems GmbH,2021-12-15,2007-12-14,2022-12-14,,NL
google.fr,https,benign,google.fr,MARKMONITOR Inc.,2022-08-17,2000-07-26,2022-12-30,,
youm7.com,https,benign,YOUM7.COM,"GoDaddy.com, LLC",2022-10-16,2007-12-03,2027-12-03,"Domains By Proxy, LLC",US
shutterstock.com,https,benign,SHUTTERSTOCK.COM,"MarkMonitor, Inc.",2020-07-08,2003-07-10,2027-07-10,"Shutterstock, Inc.",US
google.co.uk,https,benign,google.co.uk,Markmonitor Inc. [Tag = MARKMONITOR],2022-09-01,1999-02-14,2023-02-14,,
