"Indicator type","Indicator","Description"
"hostname","tor4thepeople2.torexitnode.net",""
"hostname","ip-213-220-220-60.net.upcbroadband.cz",""
"hostname","tor-proxy-05.for-privacy.net",""
"hostname","tor-exit1-readme.dfri.se",""
"hostname","jaffer.tor-exit.calyxinstitute.org",""
"hostname","59-117-108-193.clients.gthost.com",""
"hostname","a2.longforat.topplitka.com",""
"hostname","ns3127631.ip-54-38-92.eu",""
"hostname","62-210-125-130.rev.poneytelecom.eu",""
"hostname","static.205.69.243.136.clients.your-server.de",""
"hostname","lns-bzn-54-82-251-74-105.adsl.proxad.net",""
"hostname","tor.meinecloud.me",""
"hostname","static.124.107.76.144.clients.your-server.de",""
"hostname","ip16.ip-54-38-73.eu",""
"hostname","195-154-28-200.rev.poneytelecom.eu",""
"hostname","80-253-92-93.init7.net",""
"hostname","tor13.quintex.com",""
"hostname","tor44.quintex.com",""
"hostname","163-172-4-100.rev.poneytelecom.eu",""
"hostname","hosted.by.seedbox.io",""
"hostname","v22018112160776790.supersrv.de",""
"hostname","tor-exit.dhalgren.org",""
"hostname","angmar.informatik.uni-erlangen.de",""
"hostname","freedom.ip-eend.nl",""
"hostname","ns3102095.ip-145-239-255.eu",""
"hostname","ns3129556.ip-51-75-144.eu",""
"hostname","korematsu.tor-exit.calyxinstitute.org",""
"hostname","244-77-15-51.rev.cloud.scaleway.com",""
"hostname","ip178.ip-5-39-33.eu",""
"hostname","static.136.70.203.116.clients.your-server.de",""
"hostname","209-205-20-31.ftth.glasoperator.nl",""
"hostname","ns381528.ip-94-23-247.eu",""
"hostname","ns101687.ip-147-135-6.us",""
"hostname","static.167.143.9.5.clients.your-server.de",""
"hostname","tor-exit-anonymizer-11.appliedprivacy.net",""
"hostname","tor03.zencurity.dk",""
"hostname","spitfire.initlab.org",""
"hostname","ns3138560.ip-51-77-52.eu",""
"hostname","newton.toolspire.com",""
"hostname","ip154.ip-79-137-106.eu",""
"hostname","relay01.tor.nodv.in",""
"hostname","static.85-10-202-207.clients.your-server.de",""
"hostname","envato.webcare360.com",""
"hostname","200.emeraldonion.org",""
"hostname","207.emeraldonion.org",""
"hostname","dag.grmml.net",""
"hostname","ns.tor-exit-4.artikel5ev.de",""
"hostname","static.184.92.9.176.clients.your-server.de",""
"hostname","tor19.quintex.com",""
"hostname","nlwhalegbit018.usermanaged.net",""
"hostname","chili.kuehrmann.net",""
"hostname","tor43.quintex.com",""
"hostname","freedns.ludost.net",""
"hostname","204.emeraldonion.org",""
"hostname","onyx.ip-eend.nl",""
"hostname","203.emeraldonion.org",""
"hostname","static.44.38.69.159.clients.your-server.de",""
"hostname","84-113-15-51.rev.cloud.scaleway.com",""
"hostname","ns3082988.ip-145-239-6.eu",""
"hostname","ns3078969.ip-217-182-198.eu",""
"hostname","static.213-239-213-190.clients.your-server.de",""
"hostname","ns3102689.ip-54-36-165.eu",""
"hostname","ns3079936.ip-217-182-196.eu",""
"hostname","static.4.79.46.78.clients.your-server.de",""
"hostname","mail.jenix.net",""
"hostname","66-206-0-138.static.hvvc.us",""
"hostname","tor-exit-01.thehappy3.com",""
"hostname","static.43.98.9.5.clients.your-server.de",""
"hostname","ip4.ip-79-137-112.eu",""
"hostname","195-154-179-3.rev.poneytelecom.eu",""
"hostname","gate.f.rz-kaltenhof.net",""
"hostname","hosted-by.eqservers.com",""
"hostname","static.72.46.9.176.clients.your-server.de",""
"hostname","q3.flashingcourt.finishingtouchlandscapellc.com",""
"hostname","mail.wiuwiu.de",""
"hostname","28-184-158-51.rev.cloud.scaleway.com",""
"hostname","neurostar.ftzplex.com",""
"hostname","195-154-156-5.rev.poneytelecom.eu",""
"hostname","tor5.quintex.com",""
"hostname","h-158-174-122-199.na.cust.bahnhof.se",""
"hostname","turing.tor-exit.calyxinstitute.org",""
"hostname","ns3128209.ip-51-68-206.eu",""
"hostname","a36s-tor.berlin.freifunk.net",""
"hostname","tor4e3.digitale-gesellschaft.ch",""
"hostname","static.207.121.9.5.clients.your-server.de",""
"hostname","zeus.tor.eptic.me",""
"hostname","ns3082025.ip-145-239-66.eu",""
"hostname","static.243.91.201.195.clients.your-server.de",""
"hostname","tor-exit.hartvoorinternetvrijheid.nl",""
"hostname","ns3145309.ip-51-83-37.eu",""
"domain","quadriga.nu",""
"domain","cypher.pw",""
"domain","cicolina.org",""
"domain","torelay.org",""
"domain","fabiankeil.de",""
"domain","podciarou.sk",""
"domain","mrdetonia.com",""
"domain","accessnow.org",""
"domain","continuingfocus.com",""
"domain","privacy.is",""
"URL","http://dynamic.wline.res.cust.swisscom.ch",""
"hostname","54.ip-51-79-52.net",""
"hostname","231-152-172-163.rev.cloud.scaleway.com",""
"hostname","mimer.dotsrc.org",""
"hostname","tor-relay6.rofl.cat",""
"hostname","grem.stedbg.net",""
"hostname","5fd811a4.retik.eu",""
"hostname","185-225-16-146.mivocloud.com",""
"hostname","ms399.moonshot.dedi.server-hosting.expert",""
"hostname","tor-relay01.veilsoftheonion.eu",""
"hostname","104.238.188.98.vultr.com",""
"hostname","tor27.quintex.com",""
"hostname","polaris.nur-dc3.enowaves.space",""
"hostname","183.emeraldonion.org",""
"hostname","relay2-eu.tor.eptic.me",""
"hostname","tor33.quintex.com",""
"hostname","static.66.78.76.144.clients.your-server.de",""
"hostname","algrothendieck.nos-oignons.net",""
"hostname","91-143-80-147.que3.de",""
"hostname","ns3072386.ip-79-137-68.eu",""
"hostname","h.m.m.mm",""
"hostname","tor-relay-3.mnpnk.com",""
"hostname","luxembourg.tor-relay.host",""
"hostname","adsl-178-39-212-253.adslplus.ch",""
"hostname","151.emeraldonion.org",""
"hostname","static-ip-85-25-159-65.inaddr.ip-pool.com",""
"hostname","moria.rznij.net",""
"hostname","tor4thepeople3.torexitnode.net",""
"hostname","abelohost-92.93.217.185.dedicated-ip.abelons.com",""
"hostname","hosted-by.blazingfast.io",""
"hostname","tor.zzif.net",""
"hostname","196.emeraldonion.org",""
"hostname","static-ip-188-138-102-98.inaddr.ip-pool.com",""
"hostname","this-is-a-tor-exit-node-hviv113.hviv.nl",""
"hostname","202.emeraldonion.org",""
"hostname","c-0b57e353.011-165-73746f29.bbcust.telenor.se",""
"hostname","tor.privoxy.org",""
"hostname","ns3112521.ip-54-36-108.eu",""
"hostname","data2.guerrier.info",""
"hostname","tor37.quintex.com",""
"hostname","tornode.complexity.coach",""
"hostname","47.ip-149-56-44.net",""
"hostname","this-is-a-tor-exit-node-hviv118.hviv.nl",""
"hostname","this-is-a-tor-exit-node-hviv120.hviv.nl",""
"hostname","178-175-143-156.static.as43289.net",""
"hostname","aardbei.vanderzwet.net",""
"hostname","56-76-15-51.rev.cloud.scaleway.com",""
"hostname","102.ip-142-44-247.net",""
"hostname","tor1e1.digitale-gesellschaft.ch",""
"hostname","h2798589.stratoserver.net",""
"hostname","p5.ikarios.com",""
"hostname","tor21.quintex.com",""
"hostname","ip56.ip-149-56-185.net",""
"hostname","srv85178.dssbox.com",""
"hostname","162.emeraldonion.org",""
"hostname","152.emeraldonion.org",""
"hostname","tor-exit.gibberfish.org",""
"hostname","21.ip-51-254-220.eu",""
"hostname","206.emeraldonion.org",""
"hostname","n6.servbr.net",""
"hostname","allosaurus.dinosaur.systems",""
"hostname","195-154-133-124.rev.poneytelecom.eu",""
"hostname","tor4.fissionrelays.net",""
"hostname","motmot.csc.warwick.ac.uk",""
"hostname","83-239-47-212.rev.cloud.scaleway.com",""
"hostname","platinumoyster.relay.mytorservers.com",""
"hostname","tor5e3.digitale-gesellschaft.ch",""
"hostname","cowcat.relay.coldhak.com",""
"hostname","vps1578274.vs.webtropia-customer.com",""
"hostname","ip163.ip-54-36-237.eu",""
"hostname","tor.friendlyexitnode.com",""
"hostname","91-143-81-27.que3.de",""
"hostname","176.ip-51-89-138.eu",""
"hostname","mail.vonkuenheim.de",""
"hostname","haggar.mcl.gg",""
"hostname","tor01.wjg.dk",""
"hostname","1.georgeorwell.de",""
"hostname","tor-exit-node.heteigenwijsje.nl",""
"hostname","154.emeraldonion.org",""
"hostname","unassigned-87.236.194.23.coolhousing.net",""
"hostname","tor-exit.deusvult.xyz",""
"hostname","rome.servbr.net",""
"hostname","tor.arthurfabre.com",""
"hostname","193-106-166-105.ip4.fiberby.net",""
"hostname","tyrannosaurus.dinosaur.systems",""
"hostname","this-is-a-tor-exit-node-hviv124.hviv.nl",""
