"Indicator type","Indicator","Description"
"URL","http://qa-nl-4bj-caecom-0000-sistest150622.az.ssdgws.co.uk",""
"URL","http://qa-gb-8nx-fixabp-19-unset-log-to-deliver.az.ssdgws.co.uk",""
"URL","http://qa-fi-red-caecom-2750-updatepaymentquant.az.ssdgws.co.uk",""
"URL","http://qa-fi-nkp-caecom-2340-fix-account-integr.az.ssdgws.co.uk",""
"URL","http://qa-fi-4bj-caecom-0000-sistest150622.az.ssdgws.co.uk",""
"URL","http://qa-ca-vxl-caecom-2707-welcomebackerrorha.az.ssdgws.co.uk",""
"URL","http://qa-au-thu-ecrp-9108-sisendpointssetup.az.ssdgws.co.uk",""
"URL","https://xl.line.pm/",""
"URL","https://www.civil.line.pm/cizen/pik.html",""
"URL","https://syncronm.line.pm/recover",""
"URL","https://syncronm.line.pm/",""
"URL","https://smcbmastedmizzenm.line.pm/",""
"URL","https://pwldgkw99.line.pm/",""
"URL","https://pwldgkw99.line.pm",""
"URL","https://mtbverificationupdatenewlatest.line.pm/onlinebankingmtb/securityauthentication.html?onlinebanking.mtb.com/Login/MTBSignOn?security+authentication",""
"URL","https://mtbverificationupdatenewlatest.line.pm/onlinebankingmtb/securityauthentication.html?onlinebanking.mtb.com/Login/MTBSignOn",""
"URL","https://mtbverificationupdatenewlatest.line.pm/onlinebankingmtb/secq.html?onlinebanking.mtb.com/Login/MTBSignOn",""
"URL","https://cancelmypayment-appstoreinformationsistemsrer.line.pm/account/?view=login&appIdKey=3105441d2ca089c&country=US",""
"URL","https://akrab.line.pm",""
"URL","https://accountsupport-informationupserviceu.line.pm/",""
"URL","https://3.akrab.line.pm/",""
"URL","http://zxndjne.line.pm/",""
"URL","http://xl.line.pm/",""
"URL","http://www.pwldgkw99.line.pm/",""
"URL","http://smcbmastedmizzenm.line.pm/",""
"URL","http://akrab.line.pm",""
"URL","http://3.akrab.line.pm/",""
"URL","https://xn--90ahkin7a2a.xn--d1acpjx3f.xn--p1ai",""
