"Indicator type","Indicator","Description"
"IPv4","133.232.219.176",""
"IPv4","133.242.146.78",""
"IPv4","133.242.228.179",""
"IPv4","133.69.32.133",""
"IPv4","134.100.48.252",""
"IPv4","134.101.241.75",""
"IPv4","134.102.200.101",""
"IPv4","134.119.3.2",""
"IPv4","134.119.32.208",""
"IPv4","134.119.9.33",""
"IPv4","134.130.172.229",""
"IPv4","134.130.181.212",""
"IPv4","134.130.181.43",""
"IPv4","134.19.177.109",""
"IPv4","134.209.11.166",""
"IPv4","134.209.19.174",""
"IPv4","134.209.195.247",""
"IPv4","134.249.122.104",""
"IPv4","134.249.231.207",""
"IPv4","134.255.234.55",""
"IPv4","134.255.247.113",""
"IPv4","134.3.11.27",""
"IPv4","134.3.45.176",""
"IPv4","134.3.7.77",""
"IPv4","134.34.231.158",""
"IPv4","134.99.112.168",""
"IPv4","135.0.245.235",""
"IPv4","135.23.101.167",""
"IPv4","135.23.221.104",""
"IPv4","136.168.201.153",""
"IPv4","136.24.9.159",""
"IPv4","136.243.101.164",""
"IPv4","136.243.102.134",""
"IPv4","136.243.131.29",""
"IPv4","136.243.147.28",""
"IPv4","136.243.149.82",""
"IPv4","136.243.176.148",""
"IPv4","136.243.177.133",""
"IPv4","136.243.214.137",""
"IPv4","136.243.227.140",""
"IPv4","136.243.227.2",""
"IPv4","136.243.243.6",""
"IPv4","136.243.247.88",""
"IPv4","136.243.247.89",""
"IPv4","136.243.247.90",""
"IPv4","136.243.3.60",""
"IPv4","136.243.36.212",""
"IPv4","136.243.39.148",""
"IPv4","136.243.46.31",""
"IPv4","136.243.69.205",""
"IPv4","136.243.70.198",""
"IPv4","136.243.82.132",""
"IPv4","136.244.65.236",""
"IPv4","136.27.44.53",""
"IPv4","136.32.240.23",""
"IPv4","136.33.149.99",""
"IPv4","136.33.2.132",""
"IPv4","136.49.135.238",""
"IPv4","136.55.225.202",""
"IPv4","137.116.148.169",""
"IPv4","137.119.206.69",""
"IPv4","137.135.8.233",""
"IPv4","137.205.124.35",""
"IPv4","137.226.111.123",""
"IPv4","137.226.59.108",""
"IPv4","137.50.19.11",""
"IPv4","137.59.23.42",""
"IPv4","137.74.112.46",""
"IPv4","137.74.116.214",""
"IPv4","137.74.140.41",""
"IPv4","137.74.169.241",""
"IPv4","137.74.189.95",""
"IPv4","137.74.19.201",""
"IPv4","137.74.19.202",""
"IPv4","137.74.193.226",""
"IPv4","137.74.198.250",""
"IPv4","137.74.25.175",""
"IPv4","137.74.40.76",""
"IPv4","138.117.148.45",""
"IPv4","138.186.143.9",""
"IPv4","138.186.165.25",""
"IPv4","138.197.144.191",""
"IPv4","138.197.152.227",""
"IPv4","138.197.168.41",""
"IPv4","138.197.171.88",""
"IPv4","138.197.198.243",""
"IPv4","138.197.202.35",""
"IPv4","138.197.209.248",""
"IPv4","138.201.122.55",""
"IPv4","138.201.143.186",""
"IPv4","138.201.159.244",""
"IPv4","138.201.169.12",""
"IPv4","138.201.19.5",""
"IPv4","138.201.196.156",""
"IPv4","138.201.250.33",""
"IPv4","138.201.254.83",""
"IPv4","138.201.255.245",""
"IPv4","138.201.3.75",""
"IPv4","138.201.83.171",""
"IPv4","138.201.92.183",""
"IPv4","138.246.18.221",""
"IPv4","138.59.18.105",""
"IPv4","138.59.18.106",""
"IPv4","138.59.18.110",""
"IPv4","138.68.103.100",""
"IPv4","138.68.15.191",""
"IPv4","138.68.172.176",""
"IPv4","138.68.253.48",""
"IPv4","138.68.29.97",""
"IPv4","138.68.80.91",""
"IPv4","139.162.10.72",""
"IPv4","139.162.112.111",""
"IPv4","139.162.130.249",""
"IPv4","139.162.133.196",""
"IPv4","139.162.142.120",""
"IPv4","139.162.142.27",""
"IPv4","139.162.146.177",""
"IPv4","139.162.151.86",""
"IPv4","139.162.162.238",""
"IPv4","139.162.176.105",""
"IPv4","139.162.188.72",""
"IPv4","139.162.19.233",""
"IPv4","139.162.191.243",""
"IPv4","139.162.210.252",""
"IPv4","139.162.232.28",""
"IPv4","139.162.243.86",""
"IPv4","139.162.245.120",""
"IPv4","139.162.3.167",""
"IPv4","139.162.56.252",""
"IPv4","139.162.63.125",""
"IPv4","139.162.66.246",""
"IPv4","139.162.67.118",""
"IPv4","139.162.7.42",""
"IPv4","139.162.81.156",""
"IPv4","139.162.9.145",""
"IPv4","139.162.96.82",""
"IPv4","139.168.163.29",""
"IPv4","139.180.136.223",""
"IPv4","139.180.198.17",""
"IPv4","139.180.202.251",""
"IPv4","139.30.255.200",""
"IPv4","139.59.0.6",""
"IPv4","139.59.10.242",""
"IPv4","139.59.15.218",""
"IPv4","139.59.155.174",""
"IPv4","139.59.16.5",""
"IPv4","139.59.235.172",""
"IPv4","139.59.241.88",""
"IPv4","139.59.36.149",""
"IPv4","139.59.36.56",""
"IPv4","139.59.36.57",""
"IPv4","139.59.45.242",""
"IPv4","139.59.58.109",""
"IPv4","139.59.65.132",""
"IPv4","139.59.67.16",""
"IPv4","139.59.67.86",""
"IPv4","139.59.71.113",""
"IPv4","139.59.78.113",""
"IPv4","139.59.8.134",""
"IPv4","139.59.94.18",""
"IPv4","139.99.123.88",""
"IPv4","139.99.139.143",""
"IPv4","139.99.156.154",""
"IPv4","139.99.172.11",""
"IPv4","139.99.197.248",""
"IPv4","139.99.218.0",""
"IPv4","139.99.40.50",""
"IPv4","139.99.74.84",""
"IPv4","139.99.96.212",""
"IPv4","139.99.97.26",""
"IPv4","139.99.98.191",""
"IPv4","140.113.243.140",""
"IPv4","140.113.50.1",""
"IPv4","140.113.56.69",""
"IPv4","140.121.80.170",""
"IPv4","140.138.144.170",""
"IPv4","140.82.13.25",""
"IPv4","140.82.32.55",""
"IPv4","140.82.44.98",""
"IPv4","141.105.67.58",""
"IPv4","141.136.44.11",""
"IPv4","141.14.220.177",""
"IPv4","141.16.160.6",""
"IPv4","141.255.161.166",""
"IPv4","141.255.161.167",""
"IPv4","141.255.165.102",""
"IPv4","141.255.166.142",""
"IPv4","141.255.166.150",""
"IPv4","141.255.166.189",""
